,Disaese Modifying,Clinical Trial,Drug Central,Symptomatic
0,0.931350769611396,0.6983972359444132,0.8159267303356464,0.8574165060890087
1,0.9237752357670613,0.7183134328560377,0.8025503013597507,0.7914437469130942
2,0.9282052704635151,0.724056505724572,0.8086499225847861,0.8810236959744465
3,0.9267476133020773,0.715569500193065,0.8142248880462608,0.8425884120062167
4,0.9312151435939904,0.7057199622215704,0.8285184223379766,0.8448877632737108
5,0.9261423072876537,0.7211920562028922,0.8102412147258634,0.8521811136022064
6,0.9280016566698007,0.7144813348485042,0.8409686435031255,0.905650620240834
7,0.9303882004792889,0.7179628457526981,0.8226817543569682,0.8722272697410062
8,0.9316903716680993,0.7208176049790802,0.8261625901077512,0.8828395701313598
9,0.9260726290319563,0.7014053547036928,0.7945263478548314,0.8112403497788767
