,Disaese Modifying,Clinical Trial,Drug Central,Symptomatic,Disease Modifying
0,0.9486523050274316,0.7083998690876472,0.8144908754552638,0.7889710420334438,0.930460935579294
1,0.9434397817400454,0.701813217110808,0.8285431357275103,0.8747828303502436,0.9509329142469695
2,0.9355013223075944,0.6761337648150689,0.819852986137155,0.8744002419850765,0.9485844824859502
3,0.9466567004644976,0.7003019474795121,0.8137003017673942,0.838018725000453,0.9324523647852425
4,0.9509329142469696,0.7028097021825314,0.8424665018922072,0.866548016078597,0.9355013223075944
5,0.9485844824859502,0.6997536138090754,0.8189171199539288,0.8548054166101209,0.9288370903125585
6,0.9568230147202306,0.7149265535208218,0.8449984778219679,0.8528626950397621,0.9568230147202306
7,0.9288370903125585,0.7234391790967485,0.7839333367550684,0.8522267076729805,0.9466567004644975
8,0.9304609355792941,0.7142264959968948,0.7847868867373546,0.8555623225587605,0.9486523050274317
9,0.9324523647852424,0.7168032242059785,0.8052126537372019,0.8524688776401328,0.9434397817400454
