,Disaese Modifying,Clinical Trial,Drug Central,Symptomatic,Disease Modifying
0,0.2515312302014495,0.10421537786401328,0.013019209175773452,0.012428786229927644,0.16080575534753816
1,0.227369879194038,0.09279242183174437,0.017496082806243898,0.020311276072082808,0.26689435524920074
2,0.17959370398799668,0.08473521490217731,0.01072808553468402,0.02233586160531133,0.24712472568403088
3,0.2486228180599686,0.09485445948764534,0.011538220163477957,0.013162210392742535,0.19867776013637192
4,0.26689435524920074,0.09762214875639393,0.019158225583708763,0.01601181255669925,0.17959370398799668
5,0.2471247256840309,0.10080139153244952,0.01649245261621654,0.0145388566983483,0.16348324924308433
6,0.2623409807424043,0.10142662218763768,0.012572746819765187,0.015286399692970453,0.2623409807424043
7,0.16348324924308433,0.0949958440587671,0.012607876614035271,0.014288622972295618,0.2486228180599686
8,0.16080575534753816,0.07567866973141464,0.009697793951058844,0.013960725298028923,0.2515312302014495
9,0.19867776013637192,0.0954881390096564,0.01725922038676518,0.0170258981260799,0.22736987919403798
