,Disaese Modifying,Clinical Trial,Drug Central,Symptomatic,Disease Modifying
0,0.9157947177158394,0.7156361342355018,0.7829912401109382,0.8140979479956422,0.9307808937570881
1,0.9123794218706659,0.7324780257258313,0.7665121574126643,0.7619986917127137,0.9279145016535081
2,0.9339960330295524,0.7094207461180084,0.8254436319779309,0.8177092720393221,0.927446696436263
3,0.8921943289945526,0.7239996831061242,0.7157077284767916,0.6843564881940447,0.8921943289945526
4,0.930780893757088,0.7305234524933503,0.7722993291299107,0.8218726676796219,0.9223786773606647
5,0.9223786773606648,0.7574250305087807,0.7645136849641794,0.8588416073814323,0.9126664157003846
6,0.9274466964362629,0.7053411671637441,0.7960471825160945,0.8125730179983796,0.9339960330295525
7,0.927914501653508,0.728147979162654,0.8275516817890067,0.843877026911595,0.912379421870666
8,0.9126664157003846,0.7333830736662508,0.7767247398122468,0.8271989894608548,0.9157947177158394
9,0.9219938263819836,0.6974355952648138,0.7680002879445723,0.7624591067777639,0.9219938263819837
