,Disaese Modifying,Clinical Trial,Drug Central,Symptomatic,dimensions
0,0.9512347347248585,0.6948285362546183,0.8518061480798507,0.8657283951712933,128
1,0.9492392191345235,0.7159655883609028,0.8311410294704042,0.8498707921473674,128
2,0.9497510022366121,0.7290761724087578,0.8181376869786795,0.8802482146636398,128
3,0.9426848174582544,0.7256023129475845,0.8367160644165732,0.8789222764691825,128
4,0.954247537595928,0.7378365662805004,0.8292916711754513,0.8956530324494445,128
5,0.9503279132814578,0.7037737663201062,0.8375342466895638,0.8474644877162868,128
6,0.9549447650158976,0.7075544067376467,0.8545236249812855,0.8587316836390257,128
7,0.9336880670871195,0.7357587733396111,0.807966563779908,0.8458414793137397,128
8,0.9439074280776487,0.723812868182372,0.8336705965974365,0.8423780186042051,128
9,0.9584816292077724,0.6842624177447331,0.8498162917334338,0.8202096489083985,128
