,Disaese Modifying,Clinical Trial,Drug Central,Symptomatic
0,0.9157947177158394,0.7156361342355018,0.7829912401109382,0.814097947995642
1,0.912379421870666,0.7324780257258313,0.7665121574126643,0.7619986917127137
2,0.9339960330295525,0.7094207461180084,0.825443631977931,0.8177092720393221
3,0.8921943289945526,0.7239996831061242,0.7157077284767916,0.6843564881940447
4,0.9307808937570881,0.7305234524933503,0.7722993291299107,0.8218726676796219
5,0.9223786773606647,0.7574250305087807,0.7645136849641794,0.8588416073814323
6,0.927446696436263,0.7053411671637441,0.7960471825160945,0.8125730179983796
7,0.9279145016535081,0.728147979162654,0.8275516817890067,0.843877026911595
8,0.9126664157003846,0.7333830736662508,0.7767247398122468,0.8271989894608548
9,0.9219938263819837,0.6974355952648138,0.7680002879445723,0.7624591067777639
